stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\gabri\source\repos\MyProject\x64\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.09200] added dtor for sub_bitmap 000001926D3FDDC0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.09409] added dtor for sub_bitmap 000001926D3FC0B0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.09615] added dtor for sub_bitmap 000001926D3FB320, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.09836] added dtor for sub_bitmap 000001926D3FDFB0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.09923] added dtor for sub_bitmap 000001926D3FD600, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.10196] added dtor for sub_bitmap 000001926D3FB700, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.10339] added dtor for sub_bitmap 000001926D3FC680, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.10352] added dtor for sub_bitmap 000001926D3FBAE0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.10363] added dtor for sub_bitmap 000001926D3FC490, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.10380] added dtor for sub_bitmap 000001926D3FC870, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.10391] added dtor for sub_bitmap 000001926D3FCA60, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.10399] added dtor for sub_bitmap 000001926D3FCC50, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.10412] added dtor for sub_bitmap 000001926D4022D0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.10421] added dtor for sub_bitmap 000001926D402E70, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.10438] added dtor for sub_bitmap 000001926D403DF0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.10448] added dtor for sub_bitmap 000001926D403A10, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.10457] added dtor for sub_bitmap 000001926D401920, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.10464] added dtor for sub_bitmap 000001926D401B10, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.10470] added dtor for sub_bitmap 000001926D401350, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.10475] added dtor for sub_bitmap 000001926D401D00, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.10481] added dtor for sub_bitmap 000001926D403630, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.10486] added dtor for sub_bitmap 000001926D401540, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.10492] added dtor for sub_bitmap 000001926D4007B0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.10499] added dtor for sub_bitmap 000001926D403FE0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.10506] added dtor for sub_bitmap 000001926D401EF0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.10530] added dtor for sub_bitmap 000001926D4026B0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.10541] added dtor for sub_bitmap 000001926D403820, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.10568] added dtor for sub_bitmap 000001926D4024C0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.10577] added dtor for sub_bitmap 000001926D403C00, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.10585] added dtor for sub_bitmap 000001926D4020E0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.10592] added dtor for sub_bitmap 000001926D4041D0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.10599] added dtor for sub_bitmap 000001926D4005C0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.10606] added dtor for sub_bitmap 000001926D4028A0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.10616] added dtor for sub_bitmap 000001926D4009A0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.10625] added dtor for sub_bitmap 000001926D403250, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.10634] added dtor for sub_bitmap 000001926D402A90, func 00007FFE47831190
