stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\gabri\source\repos\MyProject\x64\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.19200] added dtor for sub_bitmap 0000024A658D3660, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19205] added dtor for sub_bitmap 0000024A658D2AC0, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19212] added dtor for sub_bitmap 0000024A658D3C30, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19218] added dtor for sub_bitmap 0000024A658D2110, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19226] added dtor for sub_bitmap 0000024A658D2300, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19232] added dtor for sub_bitmap 0000024A658D24F0, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19241] added dtor for sub_bitmap 0000024A658D7C50, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19247] added dtor for sub_bitmap 0000024A658D6CD0, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19252] added dtor for sub_bitmap 0000024A658D6EC0, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19259] added dtor for sub_bitmap 0000024A658D70B0, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19265] added dtor for sub_bitmap 0000024A658D7870, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19271] added dtor for sub_bitmap 0000024A658D6320, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19281] added dtor for sub_bitmap 0000024A658D7680, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19289] added dtor for sub_bitmap 0000024A658D7A60, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19296] added dtor for sub_bitmap 0000024A658D6510, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19305] added dtor for sub_bitmap 0000024A658D7E40, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19313] added dtor for sub_bitmap 0000024A658D68F0, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19321] added dtor for sub_bitmap 0000024A658D72A0, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19333] added dtor for sub_bitmap 0000024A658D7490, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19345] added dtor for sub_bitmap 0000024A658D6130, func 00007FF948C91190
